facil_id,facil_type,name_ja,name_en,address,tel,lat,lon,toilet,elevator,escalator,parking,barrier,nursing,brail_tile
00001B000000000309C71426585C7FC2,"6",ＪＲ東日本ホテルメッツ溝ノ口,JR-EAST HOTEL METS MIZONOKUCHI,川崎市高津区溝口1-1-5,044-862-0011,35.599358400000000,139.610445599999991,"3","5","1","3","1","1","1"
00001B000000000309C734265813FFC2,"5",オーケー溝ノ口店,,川崎市高津区下作延1-6-7,044-819-7100,35.601208600000000,139.606425000000002,"5","3","1","4","2","1","1"
00001B000000000309C6C8A65910FFC2,"1",かながわサイエンスパーク内郵便局,,川崎市高津区坂戸3-2-1,044-819-2315,35.595165799999997,139.620489899999995,"3","5","2","4","1","1","2"
00001B000000000309C6C92658407FC2,"4",すえなが地域包括支援センター,,川崎市高津区末長1-3-13,044-861-5320,35.595193999999999,139.608902699999987,"3","1","1","2","2","1","1"
00001B000000000309C70726589AFFC2,"1",セレサ川崎農業協同組合高津支店,,川崎市高津区溝口1-6-7,044-833-2221,35.598628900000001,139.613926600000013,"2","5","1","4","2","1","2"
00001B000000000309C70D265879FFC2,"5",ノクティプラザ１,,川崎市高津区溝口1-3-1,044-814-7777,35.598951700000001,139.612108100000000,"6","5","2","4","2","1","2"
00001B000000000309C70DA65888FFC2,"5",ノクティプラザ２（マルイファミリー溝口）,,川崎市高津区溝口1-4-1,044-814-0101,35.598982200000002,139.612923499999994,"6","5","2","4","2","2","2"
00001B000000000309C49E2658BDFFC2,"4",ひさすえ地域包括支援センター,,川崎市高津区久末410　エムアール久末１階,044-797-6531,35.564346499999999,139.615861400000000,"2","1","1","1","2","1","1"
00001B000000000309C720265880FFC2,"2",ムサシボウル,MUSASHIBOWL,川崎市高津区溝口1-11-8　OKKA634　５階,044-833-6211,35.600087600000002,139.612476100000009,"6","5","1","3","2","1","2"
00001B000000000309C6A5A6572D7FC2,"4",リ・ケア向ヶ丘地域包括支援センター,,川崎市高津区向ヶ丘130-9,044-865-6238,35.593209899999998,139.593612400000012,"1","1","1","2","1","1","1"
00001B000000000309C709A658917FC2,"3",安藤整形外科,ANDO ORTHOPEDIC CLINIC,川崎市高津区溝口1-5-2,044-811-2711,35.598764099999997,139.613395599999990,"3","5","1","1","2","1","1"
00001B000000000309C72A26588EFFC2,"3",医療法人社団亮正会総合高津中央病院,,川崎市高津区溝口1-16-7,044-822-6121,35.600815699999998,139.613259599999992,"5","5","1","3","2","2","2"
00001B000000000309C7202658747FC2,"1",横浜銀行溝口支店,,川崎市高津区溝口1-11-3,044-822-7111,35.600179199999999,139.611794800000013,"6","3","1","4","2","1","2"
00001B000000000309C7C126572D7FC2,"4",介護老人保健施設樹の丘,,川崎市高津区久地4-19-1,044-820-0350,35.608948599999998,139.593615699999987,"3","2","1","2","2","2","2"
00001B000000000309C70B26587AFFC2,"1",溝ノ口ノクティビル内郵便局,MIZONOKUCHI NOCTY BLDG POST OFFICE,川崎市高津区溝口1-3-1　地下１階,044-823-5360,35.598860199999997,139.612150700000001,"6","5","1","1","2","1","2"
00001B000000000309C7202658A6FFC2,"1",溝ノ口中央通郵便局,MIZONOKUCHICHUODORI POST OFFICE,川崎市高津区溝口1-14-15,044-811-5441,35.600162099999999,139.614592200000004,"1","1","1","4","1","1","2"
00001B000000000309C7152658A0FFC2,"5",溝口レジデンス,,川崎市高津区溝口1-7-7,,35.599402800000000,139.614257100000003,"1","3","1","4","2","1","1"
00001B000000000309C72526589CFFC6,"1",城南信用金庫溝ノ口支店,JOHNAN SHINKIN BANK,川崎市高津区溝口1-14-3,044-833-0321,35.600279499999999,139.614037099999990,"4","5","1","4","1","1","1"
00001B000000000309C707A658A5FFC2,"1",神奈川県かながわ労働センター川崎支所,,川崎市高津区溝口1-6-12　リンクス溝の口１階,044-833-3141,35.598643799999998,139.614539900000011,"2","5","1","1","2","1","1"
00001B000000000309C70A2658A5FFC2,"1",神奈川県高津県税事務所,,川崎市高津区溝口1-6-12　リンクス溝の口２階,044-833-1231,35.598792099999997,139.614529199999993,"2","5","1","1","2","1","1"
00001B000000000309C70D26583E7FC2,"1",川崎下作延郵便局,,川崎市高津区下作延2-9-11,044-866-4900,35.598957900000002,139.608785399999988,"1","1","1","1","1","1","1"
00001B000000000309C76DA6588EFFC2,"1",川崎溝ノ口郵便局,,川崎市高津区溝口3-15-12,044-822-4909,35.604330699999998,139.613271200000014,"1","1","1","2","1","1","1"
00001B000000000309C5982659B0FFC2,"1",川崎北公共職業安定所,,川崎市高津区千年698-1,044-777-8609,35.578235499999998,139.629380300000008,"5","1","1","4","2","1","2"
00001B000000000309C6EA2658D67FC2,"1",川崎北公共職業安定所溝ノ口庁舎,,川崎市高津区久本3-5-7　新溝の口ビル４階,044-777-8609,35.597017899999997,139.617428899999993,"6","5","1","3","2","2","2"
00001B000000000309C72026592F7FC2,"4",地域相談支援センターいまここ,,川崎市高津区二子6-3-3　A202,044-819-4304,35.600239600000002,139.622189100000014,"2","1","1","1","1","1","1"
00001B000000000309C7482658C37FC2,"3",帝京大学附属溝口病院,,川崎市高津区二子5-1-1,044-844-3333,35.602412399999999,139.616177499999992,"6","3","2","4","1","2","2"
